Word,Frequency
de,88957
y,80198
la,44830
el,41363
que,41030
en,34254
los,28878
a,24264
no,20018
á,16701
del,14568
por,14416
las,13751
con,12751
es,9984
fu,9936
lo,8899
al,8507
se,8364
para,8218
como,8142
un,7245
i,7208
tu,6986
mi,6854
fe,6266
fus,5890
o,5685
una,5567
me,5459
dios,5410
c,5405
porque,5294
su,5238
le,5192
yo,5157
te,4998
mas,4693
todo,4434
iehoua,4216
q,4180
e,4046
j,3987
tierra,3782
t,3762
ni,3669
todos,3660
más,3459
rey,3330
f,3280
hijos,3268
-,3200
si,3181
ha,3015
s,2919
pero,2843
fobre,2829
ellos,2670
dixo,2669
ya,2641
hijo,2640
pueblo,2603
p,2576
era,2568
r,2550
dos,2415
d,2382
sus,2372
--,2305
n,2248
m,2228
hombre,2202
qué,2190
tus,2189
os,2172
entonces,2136
nos,2113
señor,2077
toda,2032
pues,2001
también,1992
vn,1977
ifrael,1973
do,1940
v,1936
ti,1897
he,1880
ella,1877
bien,1847
todas,1846
contra,1846
entre,1826
cafa,1825
delante,1741
mano,1722
mis,1722
b,1718
sin,1660
les,1639
sobre,1594
fue,1580
vida,1539
l,1535
auia,1527
padre,1522
cuando,1516
h,1507
fin,1501
ó,1480
muy,1479
donde,1435
ii,1421
to,1420
otro,1418
tiempo,1415
aquel,1401
él,1389
vofotros,1360
qual,1337
otra,1334
cada,1327
u,1317
ojos,1313
este,1294
hombres,1288
enel,1284
hecho,1255
g,1250
quien,1250
mundo,1243
había,1243
ciudad,1234
déla,1218
antes,1217
vna,1209
está,1208
tan,1207
da,1201
tiene,1184
esta,1183
han,1174
délos,1172
ferá,1167
fi,1162
tú,1156
quando,1141
í,1132
usted,1125
dia,1125
hizo,1118
parte,1116
cofas,1096
loque,1095
vez,1087
otros,1084
lugar,1074
heb,1074
hay,1064
así,1057
has,1048
nombre,1044
fué,1039
ay,1036
ser,1021
nada,1016
anfi,1011
mismo,1009
palabra,989
puede,977
the,976
có,974
son,971
aun,971
esto,970
manos,960
aquí,959
fon,952
ra,948
gran,946
ley,933
eso,930
medio,918
palabras,918
dauid,918
heaqui,918
tal,912
hasta,910
ver,898
día,895
mal,891
ij,889
z,888
fueron,876
años,870
vino,870
tres,869
camino,859
dijo,853
mar,852
manera,851
verdad,848
aora,846
lehoua,839
allí,836
uno,819
sí,814
mucho,814
diziendo,814
vno,808
muerte,807
casa,807
efta,807
luego,805
porq,805
ál,798
tanto,797
poco,793
grande,792
ahora,781
sólo,779
dicho,777
de-,770
mil,768
noche,768
nofotros,766
co-,765
quales,762
desde,747
