Word,Frequency
и,91511
в,41413
не,26361
на,22528
что,18072
он,17005
с,16147
его,15530
я,11162
как,10455
к,10279
а,9163
из,8904
от,8082
но,7686
по,7666
их,7135
то,6908
она,6394
за,6389
они,6317
у,6154
сказал,5975
это,5717
ты,5626
так,5476
все,5408
же,5290
когда,5017
о,4773
было,4710
ему,4627
чтобы,4549
для,4264
был,4011
господь,3679
меня,3672
м,3454
ибо,3441
мне,3429
будет,3424
если,3261
во,3249
вы,3083
л,3075
до,2902
него,2884
или,2868
вот,2867
т,2781
бы,2732
тебя,2709
ее,2703
кто,2559
е,2552
только,2486
им,2447
да,2407
ни,2402
были,2396
мы,2354
тебе,2338
которые,2324
который,2227
ли,2179
них,2174
тогда,2132
всех,2123
бог,2080
день,2064
была,2059
ним,1968
вас,1945
потому,1923
человек,1904
вс,1902
там,1882
время,1879
того,1839
есть,1790
при,1780
себя,1774
сын,1744
со,1742
тот,1721
нет,1700
говорит,1667
господа,1666
пред,1648
уже,1612
после,1611
мой,1606
себе,1573
вам,1554
своего,1540
один,1531
н,1519
под,1511
над,1466
где,1459
быть,1418
против,1395
еще,1390
этого,1374
нас,1369
ей,1366
будут,1348
народ,1339
глава,1287
царь,1280
своих,1270
между,1264
бога,1255
теперь,1249
свою,1245
том,1242
сколько,1242
своей,1241
может,1239
ней,1228
г,1214
дом,1208
сказала,1199
чем,1172
раз,1166
руки,1163
землю,1117
ничего,1112
потом,1112
очень,1097
князь,1091
этот,1069
земли,1069
сына,1052
тем,1039
земле,1036
без,994
говорил,987
руб,986
через,981
нам,976
человека,970
этом,964
более,962
больше,951
ещ,940
твой,932
своим,927
свои,925
сынов,925
дома,922
также,920
царя,919
твоего,908
перед,905
людей,899
лет,883
года,877
каждый,869
всем,865
даже,864
которых,863
сделал,862
твои,861
имя,841
свой,840
сам,838
которого,836
пусть,828
много,828
сво,828
сердце,827
слова,825
мои,824
нему,821
отца,818
об,811
другой,808
опять,802
всего,795
господу,793
которое,792
весь,786
ними,785
моего,778
слово,778
отец,777
вместе,772
те,772
тво,765
глаза,762
дал,760
руку,756
два,755
стал,750
люди,749
народа,749
твоих,744
взял,743
ко,742
дело,737
которая,736
здесь,735
иисус,732
прежде,725
приш,725
тех,712
друг,712
никто,702
одного,690
эти,689
мо,687
господи,685
упа,684
пока,682
моя,682
жизни,679
три,670
хорошо,669
которую,665
мог,664
тут,664
буду,658
должен,654
дней,650
дни,645
сказали,640
дня,636
чего,635
андрей,631
пьер,628
города,625
будто,617
несколько,613
среди,609
спросил,608
оун,601
место,599
снова,594
видел,593
хотя,586
говоря,584
доме,583
ну,578
нибудь,576
нее,575
увидел,573
можно,568
коп,568
жизнь,567
этой,567
надо,559
сей,555
говорить,552
тому,548
которой,546
пош,546
тобою,546
своими,544
пришли,543
своему,541
вышел,539
сыны,537
наш,534
времени,534
итак,533
твоей,533
смерти,531
никогда,530
богу,530
всегда,526
сего,523
голос,522
послал,521
израиля,520
однако,519
давид,519
год,516
сыновья,513
голову,512
рэйчел,512
дела,508
наташа,506
кроме,504
ж,504
город,499
домой,498
моих,496
мною,495
такой,490
вдруг,489
тысяч,488
дочь,485
будешь,484
стороны,481
стали,478
моей,478
эту,477
лучше,473
чтоб,469
мать,469
двух,468
кого,465
отвечал,465
лице,464
детей,463
других,458
эта,457
одна,457
знаю,455
сказать,455
делать,454
царю,453
лица,452
ваши,452
лицо,451
говорили,448
сыновей,447
священник,446
пути,443
какой,441
сейчас,441
говорят,440
земля,439
женщина,436
оно,433
всю,433
знал,432
ночь,432
путь,430
ч,429
ростов,429
дух,428
жена,428
хотел,427
ныне,424
тоже,423
одной,423
сделать,421
куда,420
всей,417
наши,416
воды,413
жил,413
котором,412
моисей,412
этих,411
семь,409
вами,408
имени,404
вокруг,402
тся,402
затем,401
туда,399
ответил,398
пошли,396
две,395
мою,395
горе,394
твоя,393
твоим,392
поэтому,391
месте,389
стоит,388
нашего,387
первый,387
перевод,386
жить,384
твою,384
одно,383
другие,383
пять,382
однажды,381
израилевых,379
скажи,378
народу,376
назад,375
ноги,375
шь,375
собой,374
должны,374
которым,373
нужно,373
часть,372
либо,371
должно,370
матери,369
боже,368
таким,367
аршин,365
мир,363
горы,362
той,361
умер,361
двадцать,361
ночью,359
стало,358
около,357
иисуса,356
почему,355
доколе,355
друга,354
долго,353
иерусалим,352
поставил,351
часто,349
